name,project_type,category,subcategory,primary_stage,workflow_stages,summary_zh,summary_en,interface_candidate,review_status,evidence
skill-b11-auto-stop-loss-take-profit,skill,05,05.position-orders,execution,data-ingestion|risk|execution,按入场日期和开盘价规则判断止盈、止损、强平，并控制单票仓位上限。,"Applies entry-date and open-price rules for take-profit, stop-loss, forced exits, and single-name position caps.",structured,approved,README.md|SKILL.md
skill-b12-intraday-position-manager,skill,05,05.position-orders,execution,data-ingestion|risk|execution,在日内交易中按可卖与锁定数量、价格和现金管理多标的仓位。,"Manages intraday multi-instrument positions using sellable and locked quantity, price, and cash inputs.",structured,approved,README.md|SKILL.md
skill-b6-limitup-pool,skill,04,04.automated-alerts,monitoring,data-ingestion|monitoring|reporting,维护每日涨停池，记录首板、连板、炸板、回封、题材和情绪指标并生成看板。,"Maintains a daily limit-up pool with board, break, reseal, theme, sentiment, and dashboard outputs.",structured,approved,README.md|SKILL.md
skill-b7-lhb-monitor,skill,04,04.flow-crowding,monitoring,data-ingestion|monitoring|reporting,监控龙虎榜与席位标签，生成次日关注清单和可筛选的个股详情看板。,Monitors Dragon-Tiger entries and seat labels to produce next-session watchlists and searchable views.,structured,approved,README.md|SKILL.md
skill-backtest,skill,05,05.backtest-engine,backtesting,data-ingestion|backtesting|evaluation,提供横截面多头回测协议，固定 T+1 开盘成交、费用、涨跌停剔除与诊断图表。,"Provides a cross-sectional long-only backtest protocol with T+1 execution, fees, limit filters, and diagnostics.",structured,approved,README.md|SKILL.md
skill-backtest-overfit,skill,07,07.walk-forward-oos,evaluation,data-ingestion|evaluation,评估回测过拟合与多重检验风险，计算 DSR、PBO、净化交叉验证和 Harvey-Liu 折减。,"Evaluates backtest overfitting and multiple-testing risk with DSR, PBO, purged cross-validation, and Harvey-Liu haircut.",structured,approved,README.md|SKILL.md
skill-backtesting-bias-avoidance,skill,07,07.lookahead-leakage,evaluation,data-ingestion|data-quality|backtesting|evaluation,构建无前视偏差的回测并审计前视、幸存者、过拟合、成本和样本外检验风险。,"Builds look-ahead-safe backtests and audits leakage, survivorship, overfitting, costs, and out-of-sample checks.",hybrid,approved,README.md|SKILL.md
skill-block-trade-radar,skill,04,04.flow-crowding,monitoring,data-ingestion|monitoring|reporting,按大宗交易折溢价、成交量和价格证据生成 A 股个股雷达报告。,"Builds an A-share block-trade radar from discount or premium, volume, and price evidence.",hybrid,approved,README.md|SKILL.md
skill-brinson-performance-attribution,skill,05,05.performance-attribution,evaluation,data-ingestion|evaluation|reporting,执行 Brinson-Fachler 或 BHB 归因、HHI 与贡献排序，并支持 Carino 多期链接。,"Runs Brinson-Fachler or BHB attribution with HHI, contributor ranking, and Carino multi-period linking.",structured,approved,README.md|SKILL.md
skill-buffett-moat-screener,skill,03,03.a-share-equity,modeling,data-ingestion|modeling|evaluation|reporting,按巴菲特式护城河、估值和点时数据筛选 A 股与美股公司并生成研究记录。,"Screens A-share and US companies using moat, valuation, and point-in-time data for research records.",structured,approved,README.md|SKILL.md
skill-build-b10-factor-evaluation,skill,02,02.factor-evaluation,evaluation,data-ingestion|factor-screening|evaluation|reporting,评估因子的 IC、IR、分层回测、单调性、换手率和衰减表现。,"Evaluates quantitative factors with IC, IR, stratified backtests, monotonicity, turnover, and decay diagnostics.",structured,approved,README.md|SKILL.md
skill-buyback-monitor,skill,04,04.corporate-event,monitoring,data-ingestion|monitoring|reporting,监测 A 股回购公告生命周期、用途、价格区间和强度并整理研究结果。,"Monitors A-share buyback lifecycles, purposes, price ranges, and intensity for research.",hybrid,approved,README.md|SKILL.md
skill-calendar-anomaly-scanner,skill,07,07.signal-stability,evaluation,data-ingestion|evaluation|reporting,从带日期收益序列扫描日历异常，结合稳健检验、Bootstrap 和多重检验校正输出结果。,"Scans dated price changes for calendar anomalies using robust tests, bootstrap checks, and multiple-testing control.",structured,approved,README.md|SKILL.md
skill-capital-flow-crowding-monitor,skill,04,04.flow-crowding,monitoring,data-ingestion|monitoring|reporting,聚合融资融券、北向持股和大宗交易，计算资金一致性、背离与拥挤度分位信号。,"Aggregates margin, northbound-holding, and block-trade data into consensus, divergence, and crowding-percentile signals.",structured,approved,README.md|SKILL.md
skill-cb-analyzer,skill,03,03.options-convertible-bond,evaluation,data-ingestion|modeling|evaluation|reporting,分析 A 股可转债双低策略、条款事件、正股联动、Black-Scholes Greeks 与波动率。,"Analyzes A-share convertible bonds with double-low screening, terms, equity linkage, Greeks, and volatility.",hybrid,approved,README.md|SKILL.md
skill-commodity-carry-cta,skill,03,03.futures-commodity,factor-generation,data-ingestion|feature-engineering|factor-generation|backtesting|evaluation,构建商品期货 carry、时序动量、横截面动量、基差动量和库存因子并回测轮动。,"Builds commodity-futures carry, time-series momentum, cross-sectional momentum, basis, and inventory factors for rotation backtests.",structured,approved,README.md|SKILL.md
skill-concept-rotation-monitor,skill,03,03.a-share-equity,monitoring,data-ingestion|feature-engineering|monitoring|reporting,监测 A 股概念与题材的动量、宽度和轮动变化并生成研究报告。,"Monitors A-share concept and theme momentum, breadth, and rotation for research reports.",hybrid,approved,README.md|SKILL.md
skill-corporate-action-adjustment-auditor,skill,01,01.market-data-governance,data-quality,data-ingestion|data-quality|evaluation|reporting,在研究或回测前审计原始与复权价格中的拆分和现金分红一致性。,Audits split and cash-dividend consistency between raw and adjusted equity prices before research.,structured,approved,README.md|SKILL.md
skill-cross-listing-parity,skill,03,03.hk-us-equity,monitoring,data-ingestion|monitoring|reporting,比较 A/H 与中国 ADR 的跨市场价格平价、汇率和换股比例并输出监测报告。,"Monitors A/H and China ADR cross-listing parity using prices, FX, and share ratios.",hybrid,approved,README.md|SKILL.md
skill-daily-report,skill,08,08.daily-review,reporting,data-ingestion|reporting,汇总多个市场的行情、板块、资金和新闻数据，生成每日 Markdown 复盘报告。,"Aggregates cross-market prices, sectors, flows, and news into a daily Markdown review.",natural-language,approved,README.md|SKILL.md
skill-dalio-all-weather,skill,05,05.portfolio-construction,portfolio-construction,data-ingestion|portfolio-construction|backtesting|evaluation,针对A股股票、债券、黄金和商品资产提供全天候配置与回测流程。,"Provides an all-weather allocation and backtest workflow for A-share assets, bonds, gold, and commodities.",natural-language,approved,README.md|SKILL.md
skill-dividend-yield-scan,skill,03,03.a-share-equity,reporting,data-ingestion|reporting,计算A股滚动股息率、连续分红和除权除息日历。,"Calculates A-share rolling dividend yield, dividend continuity, and ex-dividend calendars.",natural-language,approved,README.md|SKILL.md
skill-dl-gnn-stock-graph,skill,06,06.statistical-ml-models,modeling,feature-engineering|modeling|backtesting|evaluation,构建A股多层异构图并使用图神经网络进行量化选股与回测。,Builds A-share heterogeneous graphs for GNN stock selection and backtesting.,natural-language,approved,README.md|SKILL.md
skill-doc-to-alphas,skill,02,02.factor-generation,factor-generation,data-quality|factor-generation,定义OHLCV因子表达式格式和校验规则，用于从文档生成Alpha因子。,Defines OHLCV alpha-expression formats and validation rules for document-derived factors.,structured,approved,README.md|SKILL.md|references/alpha_ops.md
skill-earnings-season-tracker,skill,08,08.news-disclosures,monitoring,data-ingestion|monitoring|reporting,在财报季扫描业绩预告、行业分布和审计非标事项。,"Scans earnings guidance, industry distributions, and qualified audit items during earnings seasons.",natural-language,approved,README.md|SKILL.md
skill-etf-arbitrage-monitor,skill,03,03.etf-fund-index,monitoring,data-ingestion|monitoring|reporting,监控A股ETF一级和二级市场折溢价及申赎篮子可行性。,Monitors A-share ETF primary/secondary-market premiums and redemption-basket feasibility.,natural-language,approved,README.md|SKILL.md
skill-etf-fund-evaluator,skill,03,03.etf-fund-index,evaluation,data-ingestion|evaluation|reporting,评价境内非QDII被动股票指数ETF，并支持同指数横向比较。,Evaluates domestic non-QDII passive equity-index ETFs and comparable-index peers.,natural-language,approved,README.md|SKILL.md
skill-event-risk-alert,skill,04,04.corporate-event,monitoring,data-ingestion|monitoring|reporting,对自选或持仓清单扫描解禁、质押、增减持和业绩等事件风险。,"Scans watchlists or holdings for unlock, pledge, ownership-change, and earnings-event risks.",natural-language,approved,README.md|SKILL.md
skill-factor-alpha191-alpha101,skill,02,02.factor-generation,factor-generation,data-ingestion|factor-generation,从长表OHLCV CSV批量计算Alpha101和Alpha191因子并输出宽表CSV。,Computes Alpha101 and Alpha191 factors from long-form OHLCV CSV and outputs wide CSV.,structured,approved,README.md|SKILL.md
skill-factor-backtest,skill,05,05.backtest-engine,backtesting,factor-screening|backtesting|evaluation|reporting,对给定因子和行情数据执行long-only横截面因子回测并生成诊断报告。,Runs long-only cross-sectional factor backtests on supplied factors and market data with diagnostics.,structured,approved,README.md|SKILL.md|quant-skill.yaml
skill-factor-blend,skill,02,02.factor-orthogonalization-blending,factor-generation,factor-generation|evaluation,将多个因子信号去冗余、加权并合成为复合信号。,De-redundantly weights and combines multiple factor signals into a composite signal.,natural-language,approved,README.md|SKILL.md
skill-factor-debug,skill,07,07.numerical-model-audit,evaluation,evaluation|risk,提供按症状、病因和验证手段组织的因子失效诊断手册。,"Provides a symptom, cause, and verification playbook for factor failures.",natural-language,approved,README.md|SKILL.md
skill-factor-decay,skill,07,07.signal-stability,evaluation,evaluation|reporting,分析多期限Rank IC、换手和分组收益的衰减，并估计半衰期。,"Analyzes decay in Rank IC, turnover, and bucket returns and estimates half-life.",natural-language,approved,README.md|SKILL.md
skill-factor-evaluate,skill,02,02.factor-evaluation,evaluation,factor-screening|evaluation,对单个截面因子计算IC、夏普、回撤、单调性和换手的综合评分。,"Scores a cross-sectional factor using IC, Sharpe, drawdown, monotonicity, and turnover.",natural-language,approved,README.md|SKILL.md
skill-factor-grouped-wrapper,skill,02,02.factor-selection,factor-screening,factor-generation|factor-screening|evaluation,按分组封装因子处理流程和工作流图。,Wraps grouped factor-processing workflows and their pipeline diagrams.,natural-language,approved,README.md|SKILL.md|skill.yml
skill-factor-idea-generation,skill,02,02.factor-idea-generation,factor-generation,factor-generation,根据默认数据范围生成包含经济逻辑和风险说明的因子候选想法。,Generates candidate factor ideas with economic rationale and risk notes from the default data scope.,natural-language,approved,README.md|SKILL.md|skill.yml
skill-factor-mason,skill,02,02.factor-evaluation,evaluation,factor-screening|evaluation|risk,检查单因子研究中的时点、IC/IR、成本和中性化质量。,"Checks timing, IC/IR, costs, and neutralization quality in single-factor research.",natural-language,approved,README.md|SKILL.md
skill-factor-mine,skill,02,02.factor-generation,factor-generation,factor-generation|evaluation,提供从假设、实验记录到评分和接受或回滚的因子挖掘SOP。,Provides a factor-mining SOP from hypothesis and experiment notes through scoring and accept/rollback.,natural-language,approved,README.md|SKILL.md
skill-factor-mining-pandaai,skill,02,02.factor-generation,factor-generation,factor-generation|backtesting|evaluation,使用PandaAI数据和分析反馈进行因子挖掘，或从公开文档提取因子。,Mines factors with PandaAI data and feedback or extracts them from public documents.,natural-language,approved,README.md|SKILL.md|factor-mining-pandaai.skill
skill-factor-optimize,skill,02,02.factor-generation,factor-generation,factor-generation|evaluation,对已有股票或期货因子执行参数扫描、消融和版本增强。,"Runs parameter sweeps, ablations, and version refinements for existing equity or futures factors.",natural-language,approved,README.md|SKILL.md
skill-factor-orthogonalize,skill,02,02.factor-orthogonalization-blending,factor-generation,factor-generation|evaluation,对截面因子进行逐日OLS正交化，并输出残差因子和暴露诊断。,Orthogonalizes cross-sectional factors with daily OLS and outputs residual factors and exposure diagnostics.,natural-language,approved,README.md|SKILL.md
skill-factor-pool-evolution,skill,02,02.factor-pool-online,factor-screening,factor-generation|factor-screening|evaluation,根据种子因子池的评估生成变异、交叉和推荐。,"Generates mutation, crossover, and recommendations from evaluated seed factor pools.",natural-language,approved,README.md|SKILL.md|skill.yml
skill-factor-ranking-sage,skill,02,02.factor-selection,factor-screening,factor-screening|evaluation,在本地因子和标签数据上运行mRMR或Marginal-SAGE并输出Top-K排名。,Runs mRMR or Marginal-SAGE on local factor and label data to produce Top-K rankings.,structured,approved,README.md|SKILL.md
skill-factor-review,skill,02,02.factor-evaluation,evaluation,evaluation|reporting,扫描因子库和实验日志，生成量化盘点、结构分析和研究建议。,"Scans a factor library and experiment logs for inventory, structural analysis, and research recommendations.",natural-language,approved,README.md|SKILL.md
skill-factormad-debate-factor-mining,skill,02,02.factor-idea-generation,factor-generation,factor-generation|evaluation,参考FactorMAD多智能体辩论框架进行可解释的股票Alpha因子挖掘。,Uses a FactorMAD-style multi-agent debate framework for interpretable stock-alpha mining.,natural-language,approved,README.md|SKILL.md
skill-fin-news,skill,08,08.news-disclosures,reporting,data-ingestion|reporting,聚合财经快讯和市场数据，精选头条并撰写分析文章。,Aggregates financial headlines and market data to select headlines and draft analysis articles.,natural-language,approved,README.md|SKILL.md
skill-forecast-calibration-audit,skill,07,07.forecast-calibration,evaluation,evaluation|reporting,审计概率预测的校准程度，而非只评估样本排序。,Audits probability-forecast calibration rather than sample ranking alone.,natural-language,approved,README.md|SKILL.md
skill-fundamental-factor-analysis,skill,02,02.factor-generation,factor-generation,data-ingestion|factor-generation|evaluation,从季度财报计算并验证A股估值、质量和成长因子。,"Computes and validates A-share valuation, quality, and growth factors from quarterly financial reports.",natural-language,approved,README.md|SKILL.md
skill-futures-deepview-analyst,skill,03,03.futures-commodity,reporting,data-ingestion|reporting,将期货DeepView自然语言请求转为数据调用计划和事实与推断分离的报告。,Turns futures DeepView natural-language requests into data-call plans and fact/inference-separated reports.,natural-language,approved,README.md|SKILL.md
skill-futures-roll-auditor,skill,01,01.market-data-governance,data-quality,data-ingestion|data-quality|evaluation|reporting,审计连续合约选择、换月价差和调整因子，并生成换月账本。,"Audits continuous-contract selection, roll gaps, and adjustment factors and produces a roll ledger.",structured,approved,README.md|SKILL.md
skill-gaetano-crux-capital-research-model,skill,06,06.investor-research-models,modeling,modeling|reporting,以公开资料拆解光子、光网络和AI基础设施公司的研究证据与风险。,"Uses public sources to structure research evidence and risks for photonics, optical-network, and AI-infrastructure companies.",natural-language,approved,README.md|SKILL.md
skill-gao-shanwen-research-model,skill,06,06.investor-research-models,reporting,reporting,整理、检索和学习高善文公开著作与文章。,"Organizes, retrieves, and studies Gao Shanwen's public writings and articles.",natural-language,approved,README.md|SKILL.md
skill-global-commodity-term-structure,skill,03,03.futures-commodity,reporting,data-ingestion|reporting,用公开数据研究海外商品期货期限结构、展期收益和价差。,"Uses public data to study global commodity-futures term structure, roll yield, and spreads.",natural-language,approved,README.md|SKILL.md
skill-global-macro-rates-fx-lab,skill,03,03.macro-cross-asset,reporting,data-ingestion|reporting,以公开利率、央行和外汇数据生成可溯源的全球宏观格局简报。,"Produces sourced global macro briefs from public rates, central-bank, and FX data.",natural-language,approved,README.md|SKILL.md
skill-global-macro-trend-strategy,skill,05,05.strategy-signal,backtesting,factor-screening|portfolio-construction|backtesting,将海外信号和公开日线价格转为可回测的研究策略、仓位和风控规则。,"Turns global signals and public daily prices into backtestable research strategies, positions, and risk rules.",natural-language,approved,README.md|SKILL.md
skill-hk-stock-dossier,skill,03,03.hk-us-equity,reporting,data-ingestion|reporting,基于Pandadata接口生成覆盖九个维度的港股尽职调查研报。,Generates nine-dimension Hong Kong equity due-diligence reports from Pandadata interfaces.,natural-language,approved,README.md|SKILL.md
skill-hk-us-consensus-radar,skill,03,03.hk-us-equity,reporting,data-ingestion|reporting,汇总港美股卖方评级、目标价和成长预期及其变化。,"Summarizes HK/US sell-side ratings, target prices, growth expectations, and changes.",natural-language,approved,README.md|SKILL.md
skill-hk-us-consensus-revision-radar,skill,03,03.hk-us-equity,monitoring,data-ingestion|monitoring|reporting,组织港美股目标价和评级的跨期修订轨迹，并生成研究报告。,Organizes cross-period HK/US target-price and rating revisions into a research report.,natural-language,approved,README.md|SKILL.md
skill-hk-us-dividend-events,skill,03,03.hk-us-equity,reporting,data-ingestion|reporting,基于Pandadata外盘接口生成港股和美股分红事件报告。,Generates HK and US equity dividend-event reports using Pandadata overseas-market interfaces.,natural-language,approved,README.md|SKILL.md
skill-hk-us-insider-radar,skill,03,03.hk-us-equity,monitoring,data-ingestion|monitoring|reporting,扫描港股和美股内部人交易、净买卖方向、聚集交易及持股变化。,"Scans HK and US insider transactions, net direction, trading clusters, and holding changes.",natural-language,approved,README.md|SKILL.md
skill-hk-us-quote-scan,skill,03,03.hk-us-equity,reporting,data-ingestion|reporting,生成港美股行情、流动性、估值和行业相对位置的研究快照。,"Builds HK and US equity snapshots covering quotes, liquidity, valuation, and industry-relative position.",natural-language,approved,README.md|SKILL.md
skill-holder-structure-scan,skill,03,03.a-share-equity,monitoring,data-ingestion|monitoring|reporting,跟踪A股股东户数、前十大持股和自由流通股以评估筹码集中度。,"Tracks A-share holder counts, top-holder concentration, and free float to assess ownership concentration.",natural-language,approved,README.md|SKILL.md
skill-ic-analysis,skill,02,02.factor-evaluation,evaluation,factor-generation|evaluation|reporting,评估量化因子的IC、分组表现和预测有效性。,"Evaluates quantitative factors through IC, grouped performance, and predictive effectiveness.",natural-language,approved,SKILL.md
skill-index-rebalance-event-study,skill,03,03.etf-fund-index,evaluation,data-ingestion|evaluation|reporting,围绕指数纳入、剔除和权重调整公告或生效日运行可复现事件研究。,"Runs reproducible event studies for index additions, deletions, and weight changes.",structured,approved,README.md|SKILL.md|references/output-contract.md
skill-index-valuation-rotation,skill,03,03.etf-fund-index,reporting,data-ingestion|feature-engineering|modeling|reporting,分析A股指数估值分位、行业相对估值和轮动线索。,"Analyzes A-share index valuation percentiles, relative industry valuation, and rotation signals.",natural-language,approved,README.md|SKILL.md
skill-institutional-research-tracker,skill,08,08.institutional-research,monitoring,data-ingestion|monitoring|reporting,监测A股机构调研活动、关注度及其变化。,"Monitors A-share institutional research activity, attention, and changes over time.",natural-language,approved,README.md|SKILL.md
skill-intraday-data-quality-auditor,skill,01,01.market-data-governance,data-quality,data-ingestion|data-quality|reporting,审计标准化日内OHLCV数据的时间戳、缺口、价格、成交量和交易日缺陷。,"Audits normalized intraday OHLCV data for timestamp, gap, price, volume, and trading-date defects.",structured,approved,README.md|SKILL.md|references/output-contract.md
skill-investment-decision,skill,06,06.investor-research-models,modeling,data-ingestion|modeling|evaluation|reporting,整合研究证据、估值和风险信息，形成可追溯的投资决策报告。,"Combines research evidence, valuation, and risk information into an auditable investment decision report.",structured,approved,README.md|SKILL.md|references/decision-contract.md
skill-jq-to-panda-converter,skill,10,10.build-release-tooling,orchestration,modeling|reporting|orchestration,将聚宽量化策略代码转换为可运行回测的PandaAI JSON策略配置。,Converts JoinQuant strategy code into PandaAI JSON configurations runnable in backtests.,structured,approved,README.md|SKILL.md|examples/ma_crossover_panda.json
skill-keynes-contrarian-investment,skill,06,06.investor-research-models,modeling,data-ingestion|modeling|evaluation|reporting,运用长期预期和反共识框架识别过度乐观、悲观及价值陷阱。,"Uses long-term expectations and contrarian analysis to identify optimism, pessimism, and value traps.",structured,approved,README.md|SKILL.md|references/pandadata_contract.md
skill-klarman-special-situations,skill,04,04.corporate-event,modeling,data-ingestion|modeling|evaluation|risk|reporting,按特殊情况投资框架研究定增解禁、重组、分拆和困境反转事件。,"Researches private placements, restructurings, spin-offs, and distressed turnarounds as special situations.",structured,approved,README.md|SKILL.md|references/evidence_templates/distress_turnaround.json
skill-ma-crossover-signal,skill,05,05.strategy-signal,factor-generation,data-ingestion|feature-engineering|factor-generation|reporting,计算均线交叉交易信号并提供回测评估。,"Computes moving-average crossover signals and reports trend state, latest cross, MA gap, and price bias.",structured,approved,README.md|SKILL.md|examples/output/ma_crossover_signal.json
skill-macro-altdata-nowcast,skill,03,03.macro-cross-asset,modeling,data-ingestion|feature-engineering|modeling|reporting,利用宏观另类高频数据进行行业景气度现在预测和趋势观察。,Uses high-frequency alternative macro data for industry nowcasts and trend monitoring.,natural-language,approved,README.md|SKILL.md
skill-macro-monitor,skill,03,03.macro-cross-asset,monitoring,data-ingestion|monitoring|reporting,监测宏观数据、行业景气、经济日历和周期性宏观变化。,"Monitors macro data, industry conditions, economic calendars, and recurring macro changes.",natural-language,approved,README.md|SKILL.md
skill-market-daily-review,skill,08,08.daily-review,reporting,data-ingestion|reporting,生成基于Pandadata的A股收盘后每日市场复盘报告。,Generates Pandadata-based A-share after-close daily market review reports.,natural-language,approved,README.md|SKILL.md
skill-market-regime-analysis,skill,04,04.market-regime,modeling,data-ingestion|feature-engineering|modeling|backtesting|evaluation,结合指数、宏观、期货期限结构和波动率特征划分A股市场状态。,"Classifies A-share market regimes using index, macro, futures term-structure, and volatility features.",natural-language,approved,README.md|SKILL.md
skill-ml-factor-ensemble,skill,02,02.factor-orthogonalization-blending,modeling,feature-engineering|factor-generation|modeling|backtesting|evaluation,用防泄漏滚动验证将机器学习模型集成为因子元信号。,Ensembles machine-learning models into factor meta-signals with leakage-aware rolling validation.,structured,approved,README.md|SKILL.md|scripts/ml_ensemble.py
skill-model-hpo-evidence-driven,skill,06,06.statistical-ml-models,modeling,data-ingestion|modeling|evaluation|reporting,以固定验证流程和试验级证据优化量化多因子模型超参数。,Optimizes quantitative multi-factor model hyperparameters with fixed validation and trial-level evidence.,structured,approved,README.md|SKILL.md|references/output_contract.md
skill-munger-mental-model,skill,06,06.investor-research-models,modeling,data-ingestion|modeling|evaluation|reporting,运用多元思维模型框架生成公司投资研究和判断报告。,Applies a multidisciplinary mental-model framework to company investment research and judgment reports.,structured,approved,README.md|SKILL.md|skill.json
skill-news-sentiment-analyst,skill,08,08.news-disclosures,modeling,data-ingestion|modeling|reporting,采集、核验并分析A股财经新闻情绪，生成研究报告。,"Collects, verifies, and analyzes A-share financial-news sentiment for research reports.",structured,approved,README.md|SKILL.md|scripts/reporter.py
skill-northbound-margin-monitor,skill,04,04.flow-crowding,monitoring,data-ingestion|monitoring|reporting,监测北向资金、融资融券和期货全景的多类风险信号。,"Monitors northbound flows, margin trading, and futures conditions with multiple risk signals.",natural-language,approved,README.md|SKILL.md
