name,review_status,category,subcategory,primary_stage,workflow_stages,summary_zh,summary_en
agent-template,approved,10,10.agent-template,orchestration,orchestration,用于创建可移植 QuantSkills 智能体项目的规范模板。,Canonical template for portable QuantSkills agent projects.
skill-a-share-market-participation,approved,03,03.a-share-equity,reporting,data-ingestion|modeling|reporting,"Analyze A-share cross-sectional market participation, turnover concentration, liquidity distribution, speculative crowding, leader dependence, and structural fragility from daily or intraday stock snapshots. Use when the user asks in Chinese or English to analyze A-share market breadth, participation, turnover concentration, crowding, whether an index rally is broad or narrow, or to generate a reproducible market-structure report. Use only bundled scripts with PandaData as the primary live source, AKShare as fallback, or user-provided local data; never search, browse, or scrape webpages for replacement market data, and fail closed when approved sources are unavailable. Do not use for order routing, fill simulation, slippage/TCA, live trade execution, or stock-level margin/northbound/block-trade capital-flow attribution.","Analyze A-share cross-sectional market participation, turnover concentration, liquidity distribution, speculative crowding, leader dependence, and structural fragility from daily or intraday stock snapshots. Use when the user asks in Chinese or English to analyze A-share market breadth, participation, turnover concentration, crowding, whether an index rally is broad or narrow, or to generate a reproducible market-structure report. Use only bundled scripts with PandaData as the primary live source, AKShare as fallback, or user-provided local data; never search, browse, or scrape webpages for replacement market data, and fail closed when approved sources are unavailable. Do not use for order routing, fill simulation, slippage/TCA, live trade execution, or stock-level margin/northbound/block-trade capital-flow attribution."
skill-a-share-market-risk-radar,approved,04,04.automated-alerts,monitoring,data-ingestion|risk|monitoring|reporting,扫描 A 股宏观、资金、估值、趋势、行业轮动与个股事件并汇总风险等级。,"Scans A-share macro, funding, valuation, trend, sector-rotation, and event evidence into risk levels."
skill-a-share-pit-fundamental-vintage-builder,approved,01,01.pit-data-quality,data-quality,data-ingestion|data-quality,按披露可见时点构建并审计 A 股财务数据，避免使用后续重述信息。,Builds and audits point-in-time A-share financial data without later restatements.
skill-a-share-stock-dossier,approved,03,03.a-share-equity,reporting,data-ingestion|reporting,输入一个 A 股代码，汇总基本面、公司行动、股东行为、事件风险与资金面的可溯源尽调报告。,"Uses Pandadata to produce a sourced A-share dossier covering fundamentals, corporate actions, holders, event risks, and market funds."
skill-a-share-tradability-auditor,approved,03,03.a-share-equity,reporting,data-ingestion|modeling|reporting,"A 股可交易性约束审计：把回测交易流放回历史行情，逐笔判定涨跌停封板、停牌、T+1、 裸卖空、新股窗口与参与率上限，把账面收益拆成""可成交收益""与""幽灵收益""， 并定位到具体交易。回答""这条净值曲线里有多少是市场根本不会给你的""。","A-share tradability-constraint auditor — replays a backtest or signal trade log against date-resolved price limits (10%/20%/30%; main-board ST was 5% until the 2026-07-06 rule change), locked vs intraday-opened limit bars, suspensions, T+1 settlement, the naked-short ban, the new-listing window and turnover participation caps, then splits headline PnL into executable PnL and phantom PnL. Use when the user asks 回测收益是不是真的能成交、涨停买不进、 跌停卖不出、停牌怎么处理、T+1 约束、一字板、可交易性/可成交性审计, or wants to know why a live account underperforms its backtest. Fills the ecosystem gap: the four existing auditors all check whether the DATA is right, none checks whether the EXECUTION ASSUMPTION is possible."
skill-a1-lhb-tracking,approved,02,02.factor-generation,factor-generation,data-ingestion|factor-generation|evaluation,用龙虎榜席位历史表现和次日溢价生成事件驱动排序因子。,"Generates an event-ranking factor from Dragon-Tiger seat history, win rate, payoff, and next-session premium."
skill-ag-futures-seasonality,approved,03,03.futures-commodity,modeling,data-ingestion|modeling|reporting,从农产品期货日线计算各月份历史季节性并叠加作物日历生成可视化报告。,Computes monthly agricultural-futures seasonality from daily prices and overlays crop-calendar context.
skill-ah-share-relative-value-montior,approved,06,06.investor-research-models,reporting,data-ingestion|modeling|reporting,监控A/H双重上市股票的汇率调整溢价、历史极值、脱钩与日频价格发现关系。,"Monitor FX-adjusted A/H premiums, historical extremes, dislocations, and daily cross-market price-discovery proxies."
skill-alpha-a06-hotmoney-reversal,approved,02,02.factor-generation,factor-generation,data-ingestion|feature-engineering|factor-generation|evaluation,从龙虎榜席位与行情数据计算热钱席位冷却反转因子并提供验证与回测产物。,Computes a hot-money seat cooling and reversal factor from Dragon-Tiger and market data with validation artifacts.
skill-alpha-a3-streak-leader-relay,approved,02,02.factor-generation,evaluation,data-ingestion|feature-engineering|factor-generation|evaluation,连板龙头接力（A3）Alpha 因子——从全 A 市场每日 ≥3 板候选池中识别 T+1 接力的事件型 top-N 信号，10 个子因子（个股截面 8 + 大盘情绪 2），权重可用 ICIR + shrinkage 重训，含滚动 IC gate 与 score 加权。研究层面的候选发现器，非交易策略。,连板龙头接力（A3）Alpha 因子——从全 A 市场每日 ≥3 板候选池中识别 T+1 接力的事件型 top-N 信号，10 个子因子（个股截面 8 + 大盘情绪 2），权重可用 ICIR + shrinkage 重训，含滚动 IC gate 与 score 加权。研究层面的候选发现器，非交易策略。
skill-alpha-f1-position-change,approved,02,02.factor-generation,factor-generation,data-ingestion|feature-engineering|factor-generation|evaluation,从期货前 20 席位净持仓变化计算持仓突变因子并生成信号。,Computes a futures top-20-seat position-change factor and signal from net-position data.
skill-alpha-f5-member-position-concentration,approved,02,02.factor-generation,factor-generation,data-ingestion|feature-engineering|factor-generation|evaluation,从机构、游资与北向等席位净持仓计算成员持仓集中度信号。,"Computes member-position concentration signals from institutional, hot-money, and northbound net positions."
skill-alpha-f6-family-position-reverse,approved,02,02.factor-generation,factor-generation,data-ingestion|feature-engineering|factor-generation|evaluation,从期货家族席位持仓反转关系计算交易信号。,Computes a futures family-position reversal signal from seat-position relationships.
skill-alpha-f8-family-main-divergence,approved,02,02.factor-generation,factor-generation,data-ingestion|feature-engineering|factor-generation|evaluation,从期货家族席位与主力席位持仓背离计算因子信号。,Computes a futures family-versus-main-seat position-divergence factor signal.
skill-alpha-ncav-graham,approved,02,02.factor-generation,factor-generation,data-ingestion|feature-engineering|factor-generation|evaluation,计算 Graham NCAV 净流动资产折价因子，面向排除金融股的 A 股深度价值筛选并生成信号。,Computes a Graham NCAV discount factor for A-share deep-value screening and buy-sell-hold signals.
skill-audit-opinion-scanner,approved,04,04.regulatory-compliance,evaluation,data-ingestion|evaluation|risk|reporting,从审计意见、财务报表和行业对标评估 A 股财务健康并输出风险检查结果。,"Assesses A-share financial health from audit opinions, statements, and industry benchmarks with risk checks."
skill-b11-auto-stop-loss-take-profit,approved,05,05.position-orders,execution,data-ingestion|risk|execution,按入场日期和开盘价规则判断止盈、止损、强平，并控制单票仓位上限。,"Applies entry-date and open-price rules for take-profit, stop-loss, forced exits, and single-name position caps."
skill-b12-intraday-position-manager,approved,05,05.position-orders,execution,data-ingestion|risk|execution,在日内交易中按可卖与锁定数量、价格和现金管理多标的仓位。,"Manages intraday multi-instrument positions using sellable and locked quantity, price, and cash inputs."
skill-b6-limitup-pool,approved,04,04.automated-alerts,monitoring,data-ingestion|monitoring|reporting,维护每日涨停池，记录首板、连板、炸板、回封、题材和情绪指标并生成看板。,"Maintains a daily limit-up pool with board, break, reseal, theme, sentiment, and dashboard outputs."
skill-b7-lhb-monitor,approved,04,04.flow-crowding,monitoring,data-ingestion|monitoring|reporting,监控龙虎榜与席位标签，生成次日关注清单和可筛选的个股详情看板。,Monitors Dragon-Tiger entries and seat labels to produce next-session watchlists and searchable views.
skill-backtest,approved,05,05.backtest-engine,backtesting,data-ingestion|backtesting|evaluation,提供横截面多头回测协议，固定 T+1 开盘成交、费用、涨跌停剔除与诊断图表。,"Provides a cross-sectional long-only backtest protocol with T+1 execution, fees, limit filters, and diagnostics."
skill-backtest-assumption-check,approved,07,07.workflow-audit,reporting,data-ingestion|data-quality|evaluation|reporting,独立的回测假设审计师：对回测代码/策略代码/研究报告按九大维度（成交时点、成本、涨跌停停牌、幸存者、多重比较、数据对齐、换手容量、基准、透明）逐条取证，输出缺陷×证据×严重度×影响×修复清单，配套可运行校验脚本。,"Use when an agent needs to independently audit the assumptions and biases behind a backtest / strategy code / research backtest report — execution timing and lookahead, trading costs, price limits and suspensions, survivorship bias, parameter freedom and multiple testing, data alignment and adjustment, turnover and capacity, benchmark and excess returns, and reporting transparency. Outputs a structured defect list (axis x evidence x severity x impact x fix)."
skill-backtest-overfit,approved,07,07.walk-forward-oos,evaluation,data-ingestion|evaluation,评估回测过拟合与多重检验风险，计算 DSR、PBO、净化交叉验证和 Harvey-Liu 折减。,"Evaluates backtest overfitting and multiple-testing risk with DSR, PBO, purged cross-validation, and Harvey-Liu haircut."
skill-backtesting-bias-avoidance,approved,07,07.lookahead-leakage,evaluation,data-ingestion|data-quality|backtesting|evaluation,构建无前视偏差的回测并审计前视、幸存者、过拟合、成本和样本外检验风险。,"Builds look-ahead-safe backtests and audits leakage, survivorship, overfitting, costs, and out-of-sample checks."
skill-block-trade-radar,approved,04,04.flow-crowding,monitoring,data-ingestion|monitoring|reporting,按大宗交易折溢价、成交量和价格证据生成 A 股个股雷达报告。,"Builds an A-share block-trade radar from discount or premium, volume, and price evidence."
skill-brinson-performance-attribution,approved,05,05.performance-attribution,evaluation,data-ingestion|evaluation|reporting,执行 Brinson-Fachler 或 BHB 归因、HHI 与贡献排序，并支持 Carino 多期链接。,"Runs Brinson-Fachler or BHB attribution with HHI, contributor ranking, and Carino multi-period linking."
skill-buffett-moat-screener,approved,03,03.a-share-equity,modeling,data-ingestion|modeling|evaluation|reporting,按巴菲特式护城河、估值和点时数据筛选 A 股与美股公司并生成研究记录。,"Screens A-share and US companies using moat, valuation, and point-in-time data for research records."
skill-buffett-moat-screener-lavine-version,approved,03,03.a-share-equity,reporting,data-ingestion|modeling|reporting,基于 PandaData 点时证据执行十年资本回报与护城河硬筛选。,PandaData-only point-in-time Buffett moat hard screener for A-shares.
skill-build-b10-factor-evaluation,approved,02,02.factor-evaluation,evaluation,data-ingestion|factor-screening|evaluation|reporting,评估因子的 IC、IR、分层回测、单调性、换手率和衰减表现。,"Evaluates quantitative factors with IC, IR, stratified backtests, monotonicity, turnover, and decay diagnostics."
skill-buyback-monitor,approved,04,04.corporate-event,monitoring,data-ingestion|monitoring|reporting,监测 A 股回购公告生命周期、用途、价格区间和强度并整理研究结果。,"Monitors A-share buyback lifecycles, purposes, price ranges, and intensity for research."
skill-calendar-anomaly-scanner,approved,07,07.signal-stability,evaluation,data-ingestion|evaluation|reporting,从带日期收益序列扫描日历异常，结合稳健检验、Bootstrap 和多重检验校正输出结果。,"Scans dated price changes for calendar anomalies using robust tests, bootstrap checks, and multiple-testing control."
skill-capital-flow-crowding-monitor,approved,04,04.flow-crowding,monitoring,data-ingestion|monitoring|reporting,聚合融资融券、北向持股和大宗交易，计算资金一致性、背离与拥挤度分位信号。,"Aggregates margin, northbound-holding, and block-trade data into consensus, divergence, and crowding-percentile signals."
skill-causal-alpha-discovery,approved,02,02.factor-generation,evaluation,data-ingestion|feature-engineering|factor-generation|evaluation,"Discover causal alpha factors from OHLCV data using causal discovery (PC + LiNGAM + NOTEARS), build Structural Causal Models, construct regime-invariant factor expressions, and validate through backtesting. Produces OHLCV-only alpha factors whose predictive power is grounded in causal mechanisms rather than spurious correlations. Use when an agent needs to discover stable alpha factors that survive regime changes, test whether existing factors are causal or merely correlational, or generate alpha factors with formal invariance guarantees on portable agent platforms such as Claude Code, Codex, or Codex-style skill systems.","Discover causal alpha factors from OHLCV data using causal discovery (PC + LiNGAM + NOTEARS), build Structural Causal Models, construct regime-invariant factor expressions, and validate through backtesting. Produces OHLCV-only alpha factors whose predictive power is grounded in causal mechanisms rather than spurious correlations. Use when an agent needs to discover stable alpha factors that survive regime changes, test whether existing factors are causal or merely correlational, or generate alpha factors with formal invariance guarantees on portable agent platforms such as Claude Code, Codex, or Codex-style skill systems."
skill-cb-analyzer,approved,03,03.options-convertible-bond,evaluation,data-ingestion|modeling|evaluation|reporting,分析 A 股可转债双低策略、条款事件、正股联动、Black-Scholes Greeks 与波动率。,"Analyzes A-share convertible bonds with double-low screening, terms, equity linkage, Greeks, and volatility."
skill-commodity-carry-cta,approved,03,03.futures-commodity,factor-generation,data-ingestion|feature-engineering|factor-generation|backtesting|evaluation,构建商品期货 carry、时序动量、横截面动量、基差动量和库存因子并回测轮动。,"Builds commodity-futures carry, time-series momentum, cross-sectional momentum, basis, and inventory factors for rotation backtests."
skill-concept-rotation-monitor,approved,03,03.a-share-equity,monitoring,data-ingestion|feature-engineering|monitoring|reporting,监测 A 股概念与题材的动量、宽度和轮动变化并生成研究报告。,"Monitors A-share concept and theme momentum, breadth, and rotation for research reports."
skill-corporate-action-adjustment-auditor,approved,01,01.market-data-governance,data-quality,data-ingestion|data-quality|evaluation|reporting,在研究或回测前审计原始与复权价格中的拆分和现金分红一致性。,Audits split and cash-dividend consistency between raw and adjusted equity prices before research.
skill-cross-listing-parity,approved,03,03.hk-us-equity,monitoring,data-ingestion|monitoring|reporting,比较 A/H 与中国 ADR 的跨市场价格平价、汇率和换股比例并输出监测报告。,"Monitors A/H and China ADR cross-listing parity using prices, FX, and share ratios."
skill-csrc-approval-pipeline,approved,04,04.regulatory-compliance,reporting,data-ingestion|risk|monitoring|reporting,A 股证监会批文进度追踪：按公告级别分类、审批流程监控、批文状态报告生成。,"A-share CSRC approval pipeline tracking: categorization by announcement level, approval flow monitoring, and status report generation."
skill-daily-report,approved,08,08.daily-review,reporting,data-ingestion|reporting,汇总多个市场的行情、板块、资金和新闻数据，生成每日 Markdown 复盘报告。,"Aggregates cross-market prices, sectors, flows, and news into a daily Markdown review."
skill-dalio-all-weather,approved,05,05.portfolio-construction,portfolio-construction,data-ingestion|portfolio-construction|backtesting|evaluation,针对A股股票、债券、黄金和商品资产提供全天候配置与回测流程。,"Provides an all-weather allocation and backtest workflow for A-share assets, bonds, gold, and commodities."
skill-derivatives-pricing-stochastic-calculus,approved,04,04.portfolio-stress,reporting,data-ingestion|risk|monitoring|reporting,输入期权合约与市场参数，输出可复现的定价与风险报告：BSM 解析价、全套希腊字母、二叉树与蒙特卡洛数值价、隐含波动率、平价与无套利校验，一次算清。,"Price options and other derivatives and quantify their risk from a contract specification and market inputs, covering Black-Scholes-Merton analytical pricing, the full set of Greeks, binomial-tree and Monte-Carlo numerical pricing with convergence checks, implied-volatility inversion, volatility smile/skew structure, and model-risk validation (put-call parity, no-arbitrage bounds, cross-method consistency). Use when the user asks for 期权定价、希腊字母计算、隐含波动率、波动率微笑/曲面、二叉树或蒙特卡洛定价、Black-Scholes、美式期权定价、看跌看涨平价校验, or a one-stop option pricing and risk dossier."
skill-disclosure-event-extractor,approved,08,08.news-disclosures,reporting,data-ingestion|evaluation|reporting,"Turn unstructured A-share disclosure text from cninfo (巨潮) and the SSE/SZSE exchanges into a traceable, structured event table (监管问询/诉讼担保/重组/治理/ 停牌控制权变更/增减持/质押/业绩预告). Use when the user asks to scan A-share announcements, find 关注函/问询函/诉讼/停牌/易主 events, build an event table for factor or alert pipelines, or backtest disclosure events. Fills the information-search gap Pandadata does not cover.","Turn unstructured A-share disclosure text from cninfo (巨潮) and the SSE/SZSE exchanges into a traceable, structured event table (监管问询/诉讼担保/重组/治理/ 停牌控制权变更/增减持/质押/业绩预告). Use when the user asks to scan A-share announcements, find 关注函/问询函/诉讼/停牌/易主 events, build an event table for factor or alert pipelines, or backtest disclosure events. Fills the information-search gap Pandadata does not cover."
skill-dividend-yield-scan,approved,03,03.a-share-equity,reporting,data-ingestion|reporting,计算A股滚动股息率、连续分红和除权除息日历。,"Calculates A-share rolling dividend yield, dividend continuity, and ex-dividend calendars."
skill-dl-autoencoder-anomaly,approved,06,06.statistical-ml-models,evaluation,data-ingestion|feature-engineering|modeling|evaluation,深度自编码器无监督异常检测 —— 用户问「今天哪些股票走势最异常」「沪深300 异常股」「AE 跑一下」「找不像自己往常样子的股票」类问题时触发。对沪深300成分股用最近60日窗口重训一个MLP自编码器，输出T日重建误差Top-10异常股，按「样式② 结构化播报」呈现。,深度自编码器无监督异常检测 —— 用户问「今天哪些股票走势最异常」「沪深300 异常股」「AE 跑一下」「找不像自己往常样子的股票」类问题时触发。对沪深300成分股用最近60日窗口重训一个MLP自编码器，输出T日重建误差Top-10异常股，按「样式② 结构化播报」呈现。
skill-dl-gnn-stock-graph,approved,06,06.statistical-ml-models,modeling,feature-engineering|modeling|backtesting|evaluation,构建A股多层异构图并使用图神经网络进行量化选股与回测。,Builds A-share heterogeneous graphs for GNN stock selection and backtesting.
skill-dl-tcn-shortterm,approved,06,06.statistical-ml-models,evaluation,data-ingestion|feature-engineering|modeling|evaluation,使用因果扩张 Temporal Convolutional Network 对沪深 A 股分钟线执行未来 1、2、3、5 个交易日的横截面收益排序研究，并以同数据、切分和预算的 LSTM 作为基准，生成可审计的数据、训练、速度和预测效果证据。用于运行或诊断 TCN 短线预测、核验感受野与因果卷积、PIT/walk-forward/purge/embargo、防止未来泄漏、比较 RankIC/Top 区域指标与训练吞吐，或判断研究模型是否达到冻结候选条件；不用于组合换手优化、券商连接、实盘交易或收益承诺。,使用因果扩张 Temporal Convolutional Network 对沪深 A 股分钟线执行未来 1、2、3、5 个交易日的横截面收益排序研究，并以同数据、切分和预算的 LSTM 作为基准，生成可审计的数据、训练、速度和预测效果证据。用于运行或诊断 TCN 短线预测、核验感受野与因果卷积、PIT/walk-forward/purge/embargo、防止未来泄漏、比较 RankIC/Top 区域指标与训练吞吐，或判断研究模型是否达到冻结候选条件；不用于组合换手优化、券商连接、实盘交易或收益承诺。
skill-dl-transformer-multiasset,approved,06,06.statistical-ml-models,evaluation,data-ingestion|feature-engineering|modeling|evaluation,skill dl transformer multiasset,skill dl transformer multiasset
skill-doc-to-alphas,approved,02,02.factor-generation,factor-generation,data-quality|factor-generation,定义OHLCV因子表达式格式和校验规则，用于从文档生成Alpha因子。,Defines OHLCV alpha-expression formats and validation rules for document-derived factors.
skill-earnings-event-study,approved,08,08.news-disclosures,reporting,data-ingestion|evaluation|reporting,对财报/公司事件做正式 CAR 事件研究：异常收益、多窗口累计异常收益、截面 t 检验与符号检验；披露样本量与模型，不输出买卖建议。,"Formal CAR event study around earnings/corporate events — abnormal returns, multi-window CARs, t-tests and sign tests, with sample and model disclosure; research only, no trading advice."
skill-earnings-season-tracker,approved,08,08.news-disclosures,monitoring,data-ingestion|monitoring|reporting,在财报季扫描业绩预告、行业分布和审计非标事项。,"Scans earnings guidance, industry distributions, and qualified audit items during earnings seasons."
skill-equity-placard-watchlist,approved,03,03.a-share-equity,reporting,data-ingestion|modeling|reporting,举牌行为监控——侦测 A 股股东持股比例上穿 5%/10%/15%/20%/25%/30% 法定披露梯度的权益变动事件，含举牌梯度、意图倾向（财务 vs 战略）、6 个月锁定期、逼近举牌线观察名单。剔除通道账户与股本稀释造成的假举牌。BUILD 型 skill，可被复盘 agent 或事件驱动 Alpha 调用。,举牌行为监控——侦测 A 股股东持股比例上穿 5%/10%/15%/20%/25%/30% 法定披露梯度的权益变动事件，含举牌梯度、意图倾向（财务 vs 战略）、6 个月锁定期、逼近举牌线观察名单。剔除通道账户与股本稀释造成的假举牌。BUILD 型 skill，可被复盘 agent 或事件驱动 Alpha 调用。
skill-etf-arbitrage-monitor,approved,03,03.etf-fund-index,monitoring,data-ingestion|monitoring|reporting,监控A股ETF一级和二级市场折溢价及申赎篮子可行性。,Monitors A-share ETF primary/secondary-market premiums and redemption-basket feasibility.
skill-etf-flow-radar,approved,06,06.investor-research-models,reporting,data-ingestion|modeling|reporting,每日盘后 ETF 资金流雷达 —— 用户问「今天/最近 ETF 有什么异动」「ETF 资金流看下」「哪些 ETF 在被大量申购/赎回」「ETF 净申赎异动」类问题时触发。扫描主流权益 ETF，输出三类信号（净申赎异动 / 折溢价背离 / 连续多日大额同向），以「样式② 结构化播报」呈现给用户。,每日盘后 ETF 资金流雷达 —— 用户问「今天/最近 ETF 有什么异动」「ETF 资金流看下」「哪些 ETF 在被大量申购/赎回」「ETF 净申赎异动」类问题时触发。扫描主流权益 ETF，输出三类信号（净申赎异动 / 折溢价背离 / 连续多日大额同向），以「样式② 结构化播报」呈现给用户。
skill-etf-fund-evaluator,approved,03,03.etf-fund-index,evaluation,data-ingestion|evaluation|reporting,评价境内非QDII被动股票指数ETF，并支持同指数横向比较。,Evaluates domestic non-QDII passive equity-index ETFs and comparable-index peers.
skill-event-risk-alert,approved,04,04.corporate-event,monitoring,data-ingestion|monitoring|reporting,对自选或持仓清单扫描解禁、质押、增减持和业绩等事件风险。,"Scans watchlists or holdings for unlock, pledge, ownership-change, and earnings-event risks."
skill-factor-alpha191-alpha101,approved,02,02.factor-generation,factor-generation,data-ingestion|factor-generation,从长表OHLCV CSV批量计算Alpha101和Alpha191因子并输出宽表CSV。,Computes Alpha101 and Alpha191 factors from long-form OHLCV CSV and outputs wide CSV.
skill-factor-backtest,approved,05,05.backtest-engine,backtesting,factor-screening|backtesting|evaluation|reporting,对给定因子和行情数据执行long-only横截面因子回测并生成诊断报告。,Runs long-only cross-sectional factor backtests on supplied factors and market data with diagnostics.
skill-factor-blend,approved,02,02.factor-orthogonalization-blending,factor-generation,factor-generation|evaluation,将多个因子信号去冗余、加权并合成为复合信号。,De-redundantly weights and combines multiple factor signals into a composite signal.
skill-factor-debug,approved,07,07.numerical-model-audit,evaluation,evaluation|risk,提供按症状、病因和验证手段组织的因子失效诊断手册。,"Provides a symptom, cause, and verification playbook for factor failures."
skill-factor-decay,approved,07,07.signal-stability,evaluation,evaluation|reporting,分析多期限Rank IC、换手和分组收益的衰减，并估计半衰期。,"Analyzes decay in Rank IC, turnover, and bucket returns and estimates half-life."
skill-factor-evaluate,approved,02,02.factor-evaluation,evaluation,factor-screening|evaluation,对单个截面因子计算IC、夏普、回撤、单调性和换手的综合评分。,"Scores a cross-sectional factor using IC, Sharpe, drawdown, monotonicity, and turnover."
skill-factor-grouped-wrapper,approved,02,02.factor-selection,factor-screening,factor-generation|factor-screening|evaluation,按分组封装因子处理流程和工作流图。,Wraps grouped factor-processing workflows and their pipeline diagrams.
skill-factor-ic-decay,approved,02,02.factor-evaluation,evaluation,data-ingestion|feature-engineering|factor-generation|evaluation,用日度截面 Spearman IC、ICIR、Newey-West 显著性、滚动稳定性与多周期半衰期，诊断因子预测力衰减；事实优先，不给买卖指令。,"Diagnose factor IC decay, ICIR, significance, rolling stability, and multi-horizon half-life. Evidence-first, no trading signals."
skill-factor-idea-generation,approved,02,02.factor-idea-generation,factor-generation,factor-generation,根据默认数据范围生成包含经济逻辑和风险说明的因子候选想法。,Generates candidate factor ideas with economic rationale and risk notes from the default data scope.
skill-factor-loop-evolve,approved,02,02.factor-generation,evaluation,data-ingestion|feature-engineering|factor-generation|evaluation,本地闭环因子研究系统：生成导入因子，验证，回测（PandaData真实A股数据），诊断，优化，经验记忆，生成新批次，迭代N轮，实现自我改进的因子发现与优化。,"Local closed-loop factor research: generate, validate, backtest, diagnose, learn, iterate N rounds. Self-improving alpha discovery and optimization."
skill-factor-mason,approved,02,02.factor-evaluation,evaluation,factor-screening|evaluation|risk,检查单因子研究中的时点、IC/IR、成本和中性化质量。,"Checks timing, IC/IR, costs, and neutralization quality in single-factor research."
skill-factor-mine,approved,02,02.factor-generation,factor-generation,factor-generation|evaluation,提供从假设、实验记录到评分和接受或回滚的因子挖掘SOP。,Provides a factor-mining SOP from hypothesis and experiment notes through scoring and accept/rollback.
skill-factor-mining-pandaai,approved,02,02.factor-generation,factor-generation,factor-generation|backtesting|evaluation,使用PandaAI数据和分析反馈进行因子挖掘，或从公开文档提取因子。,Mines factors with PandaAI data and feedback or extracts them from public documents.
skill-factor-optimize,approved,02,02.factor-generation,factor-generation,factor-generation|evaluation,对已有股票或期货因子执行参数扫描、消融和版本增强。,"Runs parameter sweeps, ablations, and version refinements for existing equity or futures factors."
